n_year,nombre_estado,cve_ent,genero,pob_start_year,pob_mid_year
1970,Sonora,26,Mujeres,570151,578528
1970,Sonora,26,Total,1148807,1166037
1970,Tabasco,27,Hombres,407576,413814
1970,Tabasco,27,Mujeres,394163,400218
1970,Tabasco,27,Total,801739,814032
1970,Tamaulipas,28,Hombres,758044,768208
1970,Tamaulipas,28,Mujeres,758987,769356
1970,Tamaulipas,28,Total,1517031,1537564
1970,Tlaxcala,29,Hombres,224946,227696
1970,Tlaxcala,29,Mujeres,217160,220033
1970,Tlaxcala,29,Total,442106,447729
1970,Veracruz,30,Hombres,2028441,2060598
1970,Veracruz,30,Mujeres,1992348,2024677
1970,Veracruz,30,Total,4020789,4085275
1970,Yucatán,31,Hombres,405193,411262
1970,Yucatán,31,Mujeres,402652,408645
1970,Yucatán,31,Total,807845,819907
1970,Zacatecas,32,Hombres,497999,502389
1970,Zacatecas,32,Mujeres,494472,499095
1970,Zacatecas,32,Total,992471,1001484
1971,Aguascalientes,01,Hombres,182592,186403
1971,Aguascalientes,01,Mujeres,185392,189278
1971,Aguascalientes,01,Total,367984,375681
1971,Baja California,02,Hombres,465379,472145
1971,Baja California,02,Mujeres,465632,472547
1971,Baja California,02,Total,931011,944692
1971,Baja California Sur,03,Hombres,71306,73152
1971,Baja California Sur,03,Mujeres,67644,69385
1971,Baja California Sur,03,Total,138950,142537
1971,Campeche,04,Hombres,140581,144151
1971,Campeche,04,Mujeres,137994,141474
1971,Campeche,04,Total,278575,285625
1971,Chiapas,07,Hombres,878617,890197
1971,Chiapas,07,Mujeres,852364,863090
1971,Chiapas,07,Total,1730981,1753287
1971,Chihuahua,08,Hombres,865878,874572
1971,Chihuahua,08,Mujeres,851075,860392
1971,Chihuahua,08,Total,1716953,1734964
1971,Ciudad de México,09,Hombres,3598493,3639138
1971,Ciudad de México,09,Mujeres,3827007,3869914
1971,Ciudad de México,09,Total,7425500,7509052
1971,Coahuila,05,Hombres,605813,614947
1971,Coahuila,05,Mujeres,591801,601189
1971,Coahuila,05,Total,1197614,1216136
1971,Colima,06,Hombres,130976,133274
1971,Colima,06,Mujeres,128984,131258
1971,Colima,06,Total,259960,264532
1971,Durango,10,Hombres,510629,516042
