cve_concatenada,sequia,racha,full_date_start_racha,full_date_end_racha,racha_dias
03008,D1,12,2023-01-15,2023-07-15,181
03008,D2,5,2003-01-31,2003-05-31,120
03008,D3,8,2011-10-31,2012-05-31,213
03008,Sin sequia,81,2014-03-15,2017-07-15,1218
03009,D0,13,2022-12-31,2023-07-15,196
03009,D1,19,2021-09-15,2022-06-15,273
03009,D2,16,2021-01-15,2021-08-31,228
03009,Sin sequia,30,2003-01-31,2005-08-31,943
04001,D0,7,2012-11-30,2013-05-31,182
04001,D1,13,2023-11-15,2024-05-15,182
04001,D2,4,2009-05-31,2009-08-31,92
04001,D3,6,2009-09-30,2010-02-28,151
04001,Sin sequia,40,2013-06-30,2015-05-31,700
04002,D0,12,2022-08-31,2023-02-15,168
04002,D1,15,2016-10-31,2017-05-31,212
04002,D2,10,2009-09-30,2010-06-30,273
04002,D3,1,2011-05-31,2011-05-31,0
04002,Sin sequia,19,2013-05-31,2014-06-30,395
04003,D0,10,2015-07-31,2015-12-15,137
04003,D1,5,2011-04-30,2011-08-31,123
04003,D2,5,2009-04-30,2009-08-31,123
04003,D3,6,2009-09-30,2010-02-28,151
04003,Sin sequia,19,2011-09-30,2013-03-31,548
04004,D0,6,2003-03-31,2003-09-30,183
04004,D1,8,2004-10-31,2005-05-31,212
04004,D2,7,2009-11-30,2010-05-31,182
04004,D3,2,2009-09-30,2009-10-31,31
04004,Sin sequia,23,2013-05-31,2014-08-31,457
04005,D0,20,2018-07-31,2019-05-15,288
04005,D1,13,2023-11-15,2024-05-15,182
04005,D2,3,2009-06-30,2009-08-31,62
04005,D3,3,2009-12-31,2010-02-28,59
04005,Sin sequia,40,2013-06-30,2015-05-31,700
04006,D0,19,2019-06-15,2020-03-15,274
04006,D1,15,2018-10-31,2019-05-31,212
04006,D2,10,2009-09-30,2010-06-30,273
04006,D3,1,2011-05-31,2011-05-31,0
04006,Sin sequia,18,2013-06-30,2014-06-30,365
04007,D0,7,2004-06-30,2004-12-31,184
04007,D1,5,2011-04-30,2011-08-31,123
04007,D2,5,2009-04-30,2009-08-31,123
04007,D3,4,2009-11-30,2010-02-28,90
04007,D4,1,2009-10-31,2009-10-31,0
04007,Sin sequia,19,2011-09-30,2013-03-31,548
04008,D0,11,2018-12-15,2019-05-15,151
04008,D1,22,2023-06-30,2024-05-15,320
04008,D2,5,2009-07-31,2009-11-30,122
04008,D3,3,2009-12-31,2010-02-28,59
04008,Sin sequia,41,2013-06-30,2015-06-15,715
04009,D0,9,2003-01-31,2003-10-31,273
04009,D1,6,2009-01-31,2009-06-30,150
04009,D2,7,2009-11-30,2010-05-31,182
04009,D3,2,2009-09-30,2009-10-31,31
04009,Sin sequia,38,2012-05-31,2014-10-15,867
04010,D0,8,2008-02-29,2008-09-30,214
04010,D1,8,2009-01-31,2009-08-31,212
04010,D2,9,2009-09-30,2010-05-31,243
04010,D3,1,2008-01-31,2008-01-31,0
04010,Sin sequia,64,2011-08-31,2015-06-30,1399
04011,D0,7,2008-02-29,2008-08-31,184
04011,D1,13,2019-10-15,2020-04-15,183
04011,D2,6,2009-11-30,2010-04-30,151
04011,D3,1,2009-10-31,2009-10-31,0
04011,Sin sequia,44,2011-08-31,2014-08-31,1096
04012,D0,6,2003-03-31,2003-09-30,183
04012,D1,8,2004-10-31,2005-05-31,212
04012,D2,7,2009-11-30,2010-05-31,182
04012,D3,2,2009-09-30,2009-10-31,31
04012,Sin sequia,23,2013-05-31,2014-08-31,457
04013,D0,7,2012-11-30,2013-05-31,182
04013,D1,13,2023-11-15,2024-05-15,182
04013,D2,4,2009-05-31,2009-08-31,92
04013,D3,6,2009-09-30,2010-02-28,151
04013,Sin sequia,40,2013-06-30,2015-05-31,700
05001,D0,7,2008-12-31,2009-06-30,181
05001,D1,8,2012-06-30,2013-01-31,215
05001,D2,8,2022-04-30,2022-08-15,107
05001,D3,5,2011-12-31,2012-04-30,121
05001,D4,2,2011-10-31,2011-11-30,30
05001,Sin sequia,67,2014-07-31,2017-04-30,1004
05002,D0,8,2009-01-31,2009-08-31,212
05002,D1,7,2013-02-28,2013-08-31,184
05002,D2,4,2008-04-30,2008-07-31,92
05002,D3,8,2021-12-31,2022-04-15,105
05002,D4,7,2011-08-31,2012-02-29,182
05002,Sin sequia,19,2003-07-31,2005-03-31,609
05003,D0,4,2013-06-30,2013-09-30,92
05003,D1,12,2023-10-31,2024-04-15,167
05003,D2,14,2019-10-31,2020-05-15,197
05003,D3,11,2022-03-15,2022-08-15,153
05003,D4,2,2006-07-31,2006-08-31,31
05003,Sin sequia,24,2003-07-31,2005-08-31,762
05004,D0,10,2014-05-15,2014-09-30,138
05004,D1,4,2008-03-31,2008-06-30,91
05004,D2,2,2011-07-31,2011-08-31,31
05004,D3,4,2011-09-30,2011-12-31,92
05004,Sin sequia,30,2003-01-31,2005-08-31,943
