system:index,01,02,03,04,05,06,07,08,09,10,11,12,CVEGEO,CVE_ENT,NOMGEO,n_year,.geo
00000000000000000000,1.9006341977632064,1.8342594648085746,0.5805153560803942,2.0958956711541346,9.013435515502225,6.942971008213807,95.86738391352884,83.9732134742943,18.798297167330873,62.341706784520525,56.74663777827136,35.54700349651102,01,01,Aguascalientes,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,38.731711920842294,21.520181821944764,29.74385396831945,2.80070222379927,0.4445468764804599,0.074620763018575,4.765011992461367,22.19432753042864,9.091425702701128,5.579419191231966,14.072852801255854,22.742898630697034,02,02,Baja California,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,6.847635085402408,6.995984118408926,2.4855378341644134,0.24450028176506033,0.3444877392912887,0.04733539686749574,7.248194702114659,45.14128901239029,17.323199696983927,28.710124289922398,4.777608772157329,6.658358941601075,03,03,Baja California Sur,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,62.855483924187595,42.82894085867389,32.85781450010127,16.48332896613359,79.6705124744843,68.44732242840158,176.87334784243671,237.62154771764878,188.29234148746428,122.03623254412098,154.47168255059947,80.51839725370641,04,04,Campeche,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,3.8672205783028093,5.082105352689076,11.124219124705695,13.816055361652003,75.21744247422241,20.762148267381193,25.043597868425405,27.37825672200859,29.28676054594765,58.21064692170538,28.689912480214804,8.488887770462897,05,05,Coahuila de Zaragoza,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,1.3416238495406363,0.18681131608405555,2.8423820870683336,2.5345408411772796,6.400885300812572,44.197691253848376,208.09826727787313,125.93032872368748,112.3765188828391,352.6786969633189,13.519124811534063,17.741133806888225,06,06,Colima,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,51.30225607789264,69.25465582697252,43.56790319551712,23.934842672784015,112.80291490666323,196.969126677881,281.2136643666332,248.82282361720343,263.83394007240696,272.1895593974607,105.08949575235009,67.81904996457286,07,07,Chiapas,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,8.059931996965052,11.26616590377496,13.842890039619798,3.414724149167652,14.527181875628173,10.313923318928753,41.66094505301657,72.87105413938983,34.87723713668092,31.14926371813318,12.109974949897424,6.929377060904874,08,08,Chihuahua,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,1.3522608698252356,1.0892225856230136,12.999287262791196,24.48275120421551,141.84759862515116,53.54961909623336,178.0618259968523,160.81559930729034,87.87850287032008,62.777951020264666,126.99691537248472,13.545689884113248,09,09,Ciudad de M�xico,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,2.2694131811098286,4.283239986757472,3.7559347360796096,3.3411068522584064,12.633759708800348,11.138920866859436,106.60800314705394,95.84044557693244,67.47253219025504,113.55258250811453,27.935816762526493,10.447800635372905,10,10,Durango,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,1.6682257852619762,0.29784326884763684,4.509707788374195,9.626579884992816,37.25675217585893,12.030378642419935,108.1588816628318,113.98067880633987,39.47040028755852,53.142203044051804,28.177004907193194,38.51905796670956,11,11,Guanajuato,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,1.8967647162526597,0.2163898221978292,0.13265120815518877,3.574698800766575,53.923169123202236,102.19219332259458,232.6675131194818,243.49220169724697,177.00470835075248,237.44730030858048,56.43220387037481,6.22136384516787,12,12,Guerrero,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,7.884663791785036,5.9567709661202,29.64116860474678,35.46345135651145,115.51285085466536,22.934121706218466,89.29142241753576,111.79300482257342,31.010199004877855,96.36612049369322,59.89043208792777,60.23671335482597,13,13,Hidalgo,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,1.2057316428138791,1.4640739728417433,1.105424148401434,1.95022204837172,8.094505204948259,45.72824715975004,214.537210735549,166.74125416136323,122.59863756749124,161.84786720498596,20.625974320637354,36.33628054909334,14,14,Jalisco,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,0.9193530527370947,0.2516861016417002,12.920919549587943,15.611304973448378,89.37474176262886,38.80631577490911,206.10873902974902,191.4229787267489,85.23637024728414,91.7399412700798,80.02242816834082,15.486635102359328,15,15,M�xico,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,0.9869917035352427,0.035123381415959144,3.1758499890811085,3.8063971499189377,28.251247408901527,37.229136433720655,199.29034411412658,171.67584469407603,92.93396866587575,185.46787729345849,20.30583579491982,20.902490199420605,16,16,Michoac�n de Ocampo,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,0.25669081263668037,0.0806199821474965,1.4504744863314367,13.294595645524197,99.30059281995781,31.151320328775405,187.69273773547985,192.7213674731158,110.12456936861138,100.9166844744473,95.50851789487322,4.298746041086414,17,17,Morelos,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,0.20215761681873143,2.990228171915414,1.4830670865377154,0.8527131460239956,2.0519136609819575,34.98830383410324,220.4738797363578,265.75194643987453,189.26427316896329,209.19444915535865,20.186495085311133,15.513554513866302,18,18,Nayarit,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,2.140011544768138,3.25622872521546,13.862317560137376,70.93466675137401,120.20381158042893,22.076102491853387,18.66214861617737,31.387474445865514,37.35175488234661,96.3780205684512,64.14064398915666,13.12603825395384,19,19,Nuevo Le�n,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
