system:index,01,02,03,04,05,06,07,08,09,10,11,12,CVEGEO,CVE_ENT,NOMGEO,n_year,.geo
00000000000000000000,35.216985997086134,18.413821938375076,5.721989248449626,2.673619740501837,17.365956826862963,81.03680537549502,184.6406330530949,88.35693337038454,94.67185630655706,6.935467622676646,0.805464299653662,6.468487789961012,01,01,Aguascalientes,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,16.633323432027723,15.33159353019837,84.74740397659966,10.223952932514388,1.3029404233986421,0.4354040291960109,2.6488276114729663,3.693768044999267,6.63233550658056,6.426242016999968,6.798364557701638,16.43728165051532,02,02,Baja California,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,9.819004682517509,6.716554374260419,16.123471507109347,0.7626977552243056,0.32225816009400465,0.36055918252360547,5.920523272057162,17.43704872448465,18.67893530995307,6.74415245554245,0.8795599662279928,6.76926613436406,03,03,Baja California Sur,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,41.137674091315695,16.29600626395264,7.629207985414066,29.448247056036347,185.186432790523,338.5964978217068,141.85940042133228,201.6060743428842,227.40287394883214,309.4828166386897,99.60622953706086,90.01232156264331,04,04,Campeche,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,19.64804286359266,6.857479539019238,16.693237374701717,9.298482210135802,43.30269339056314,40.16392099307802,46.26693304364742,8.84694323087002,70.12819547460471,4.249960816460401,1.9366399595247061,13.001157260654283,05,05,Coahuila de Zaragoza,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,33.83000694582508,43.34672135396791,1.2666765099511048,0.32659271642733684,4.330272416658945,42.937261691021334,214.32555970121675,338.1553024246827,239.21941578641605,25.746991597505772,0.9897697594412376,4.309621525705981,06,06,Colima,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,45.26403578116885,34.6552084708074,20.600921074648376,42.338422749717665,201.17202941871813,328.7735868391781,214.7154668949703,378.10324842044906,364.51435954568115,263.1867170413715,191.64238473351358,56.91709121013923,07,07,Chiapas,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,10.287693115298508,13.892671393808316,16.790085748272126,4.876884557640525,6.014554096743484,16.716764009935194,83.8239249087782,34.178215428771715,63.24236443269788,5.975426267723924,2.5141848716731285,15.03553902242231,08,08,Chihuahua,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,13.183848090237571,7.075539590773789,12.28287491114004,20.61205233320648,41.917648738641624,96.17923345847576,174.8588972932051,193.50166808793773,169.04352406620023,29.45758961287506,5.6707348422053965,2.7423516196314894,09,09,Ciudad de M�xico,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,35.246916586354445,13.612172655887502,4.831151476712814,3.4104856977277773,8.571592771703619,24.4653864379652,143.39813075260085,79.6924079363438,119.5724736423838,9.816067880987726,1.0880439620903593,7.278051307563144,10,10,Durango,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,8.830330175849406,15.271302833321252,15.728668119318755,7.699393135125358,29.77582628229245,106.24695533768656,122.62777898451286,98.68410519289506,83.05416124962032,7.611937816949979,1.204181751704139,2.1388481759353852,11,11,Guanajuato,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,7.6573564858042795,5.70726615624935,1.4151054991321592,1.0372353520824935,13.522729871736587,158.48793293070037,228.02235219852403,320.2456056319934,258.9802355207706,48.77348370692524,2.4931809825620665,2.9581075537879755,12,12,Guerrero,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,33.962637724938205,13.116892167125547,13.688969421064623,65.55277534653912,72.06432018579333,77.08924330570599,134.7782525110961,126.42002973274525,204.86519346897688,31.684867833785983,15.264160946430435,6.31836955173436,13,13,Hidalgo,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,38.45545463049868,36.637466403998,3.579441061782074,1.3422646515040562,11.856839807327358,78.22379069949545,218.57716961145832,228.85058513752452,185.42351635266766,33.45984899434338,1.2370183992429913,7.244509416242488,14,14,Jalisco,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,10.21102133911488,7.39544969303785,19.92395811862458,25.955462422452744,37.18547722518255,114.85539142021733,232.81098022477403,237.4533973843567,169.89304518629984,26.81926444466546,3.867685410955383,1.3213006575352537,15,15,M�xico,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
