system:index,CVEGEO,CVE_ENT,NOMGEO,mean,n_year,.geo
00000000000000000000,01,01,Aguascalientes,549.296090333615,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,02,02,Baja California,167.25626535899303,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,03,03,Baja California Sur,238.31170655670724,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,04,04,Campeche,1416.6917420603952,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,05,05,Coahuila de Zaragoza,334.5829610176111,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,06,06,Colima,1066.743276310345,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,07,07,Chiapas,2163.2840194175305,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,08,08,Chihuahua,552.3079413483791,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,09,09,Ciudad de M�xico,1083.9975158516772,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,10,10,Durango,722.3113488303292,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,11,11,Guanajuato,617.1406839870332,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,12,12,Guerrero,1461.1479308129735,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,13,13,Hidalgo,951.4431192223649,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,14,14,Jalisco,952.3821962579169,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,15,15,M�xico,995.1959646077406,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,16,16,Michoac�n de Ocampo,1044.3328612581995,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,17,17,Morelos,980.5360260976972,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,18,18,Nayarit,1191.526921288323,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,19,19,Nuevo Le�n,452.8115797207171,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,20,20,Oaxaca,1505.3285855926324,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,21,21,Puebla,1092.3151329698258,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,22,22,Quer�taro,699.7086700699934,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,23,23,Quintana Roo,1595.2538807677126,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,24,24,San Luis Potos�,651.0020577030745,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,25,25,Sinaloa,885.5643568173626,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,26,26,Sonora,520.2940510500439,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,27,27,Tabasco,2053.6182109542774,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,28,28,Tamaulipas,756.9139306015462,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,29,29,Tlaxcala,834.6756971757147,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,30,30,Veracruz de Ignacio de la Llave,1964.3223878835822,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,31,31,Yucat�n,1187.9264368587683,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,32,32,Zacatecas,491.56461806038385,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
