system:index,01,02,03,04,05,06,07,08,09,10,11,12,CVEGEO,CVE_ENT,NOMGEO,n_year,.geo
00000000000000000000,27.591472693609113,23.935048555926645,0.0526904677067238,5.636026829064373,47.5885361067071,234.04015917092093,72.64583882737101,79.69884227183962,131.95495708032647,64.18660520659965,45.42268203768603,4.931362086242469,01,01,Aguascalientes,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,16.72637337001426,14.00157118827523,20.57676652980143,4.830438048133844,1.0211469189142162,0.030573524391544617,6.208746020502424,8.211312663638195,7.022232170708082,21.858509546469396,10.917528034200231,26.26139915263811,02,02,Baja California,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,4.0188374924427475,5.856944102508726,2.629973055752021,0.16418209327532657,0.020661923721413306,0.36016398114174514,9.845485178465404,25.859027737796634,46.1204583881974,17.3180908197687,4.893058518022841,14.239401362049692,03,03,Baja California Sur,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,112.11814868073635,27.642158980125107,16.45896154174018,144.9601945050902,35.50049268983363,153.8181597742975,173.8651492094594,294.9141887591642,239.16159420518724,169.47744795214945,91.0935153120609,33.44360299009328,04,04,Campeche,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,5.093368122121,7.792732026263682,3.7457288819406807,11.634706473851143,13.709862737527832,53.094247225098,34.75267745515554,62.36183321865743,185.58513884111906,77.51264692612644,13.507022443902107,21.69917126179097,05,05,Coahuila de Zaragoza,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,10.351381571623607,4.169281309229811,1.7581822243490215,0.7901690121687801,13.587400444578405,175.71514465492288,70.5423818898609,139.8926931214377,230.45495398466082,175.7612308632416,75.7326165205845,5.578230131803727,06,06,Colima,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,95.00704120146716,22.420982319530285,33.73335325772681,103.1560027880579,105.27506938296335,211.4751119266392,128.725503439854,232.55291322301463,292.3837672038731,264.21574276447984,95.42323228340402,38.15355423234298,07,07,Chiapas,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,3.380530975604599,12.989245684973973,4.309642364856093,2.5122323502370634,3.970150484962801,59.886898347064346,82.96357854477498,112.74590321611022,94.38814437924458,55.471309371022265,8.267912458811903,30.65091713791604,08,08,Chihuahua,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,13.245010638532106,10.555457538649579,12.19267250828827,52.98701834633108,87.82431872056065,171.92949909698623,100.94877472958893,297.4623720168903,182.0157348686934,129.91263751929716,64.79325213509186,6.891791101417241,09,09,Ciudad de M�xico,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,6.694951811286509,13.621738538660955,1.625284478311013,2.49664710089695,7.6858078926925435,92.98038819794671,96.53601257486801,140.44103182619975,207.23797507373195,85.05348296869289,12.567840959036536,22.83035536583651,10,10,Durango,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,6.5872335702181735,13.094419840547245,2.537103919929538,9.854391206536405,56.648102626958725,275.67028296281825,87.28433054301014,115.94913721901817,162.47220218580193,72.12940308967437,48.87052638992984,3.962937631110643,11,11,Guanajuato,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,7.121605441077765,2.5379187817610656,0.8327257077331846,8.681383204520223,46.550004565252365,256.2277060348223,111.8624887546224,233.245361880437,225.88911419843868,215.45152167844418,64.06285620669142,6.565544873965704,12,12,Guerrero,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,26.8043203661872,27.879974432164953,19.544450590714668,41.5722302944129,40.875984340155924,203.15845505175542,50.39684734777971,162.54237597111268,169.00942653968178,142.0636705439289,80.84141956675643,14.424384978033533,13,13,Hidalgo,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,12.430690176318127,11.050276351473581,0.673500343584891,1.917362734679742,51.01162286762314,191.00515662232962,128.33746856710314,190.0951905809251,228.45840279785813,121.36401581776278,50.53885843356221,5.80996813059425,14,14,Jalisco,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,12.726677248602241,9.533144367539675,6.687521666005181,36.680510703552414,72.38503607186482,246.2411378579526,113.81008876201922,227.89195854227498,190.33629302491275,138.97879551565077,70.31118749462841,4.3779052717651386,15,15,M�xico,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,16.09966264896627,8.52354214820604,1.4626515506360698,4.873032457928856,65.87904814160228,239.66671682147265,113.08924594540225,195.96473524030839,188.01803649296176,175.9122024739434,72.68719563456996,4.119804630141482,16,16,Michoac�n de Ocampo,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,5.3222926709323355,2.010874808885311,4.439169082067232,41.29700283057809,114.30963306898525,312.35432581632523,61.930227871578836,273.9476663094827,204.98623454927642,184.64405454358192,36.879956136615405,1.7260044038368016,17,17,Morelos,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,8.39118923656805,8.127038357221636,0.12230732187964685,0.6312168592073332,1.2138378388005089,133.83878608101122,175.01868570055237,292.8229630681844,293.3780536490443,145.2150730617207,24.687708168998732,8.490166402516536,18,18,Nayarit,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
