system:index,01,02,03,04,05,06,07,CVEGEO,CVE_ENT,NOMGEO,n_year,.geo
00000000000000000000,11.43974011856175,3.9219834648493688,0.5736391374798937,2.516301473462906,25.119162364907133,147.75364037419453,146.94906700467865,01,01,Aguascalientes,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,12.441346448992533,13.128390235352615,24.460023064068086,5.645676379312765,2.1361890573932483,0.37060007465360084,2.5283583042899536,02,02,Baja California,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,5.2582534808891435,2.8714367822281286,1.1085623793581036,0.24934988111332068,0.5241549992047075,0.11382209682946463,10.824326112442675,03,03,Baja California Sur,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,38.55942613831414,84.428825196508,11.975933440583924,14.905689493911977,28.110983207903423,211.24286630840663,133.9072766296819,04,04,Campeche,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,8.14091555714639,3.579624677317254,8.75613523059234,15.926909463349384,29.148634773625144,31.074580806319027,74.52291472445803,05,05,Coahuila de Zaragoza,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,9.4679989695096,2.394031784982408,0.2594626690067509,0.7650929983635301,29.7374250575152,221.77695694884414,165.92522834504047,06,06,Colima,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,54.89935383168318,61.70097349802268,22.58818688461126,46.672147217672354,157.80323673772727,358.28833975052316,170.83763915964676,07,07,Chiapas,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,10.801579004932183,3.563662358060263,3.0295619836422247,3.9228797014719,5.679959062129337,53.2579208508929,111.8770022857683,08,08,Chihuahua,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,25.008540911886353,15.807357612174577,7.796886224887153,6.639209110052993,95.30584239014159,278.2302681841776,174.42238489287038,09,09,Ciudad de M�xico,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,11.680484010762124,3.298026645252507,1.4577181531917942,3.3907860416104323,8.409779560739198,77.16956068247383,159.46037084569747,10,10,Durango,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,5.638637595633338,7.537068472480281,0.8987475675879517,1.4784610295906744,74.94709893077952,177.72549078238504,136.93935323977797,11,11,Guanajuato,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,42.89038277118787,4.798565904748846,0.9320087790499234,1.786355495533958,77.52827160095265,344.48134279689805,167.4233864219829,12,12,Guerrero,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,23.596402305368517,31.883440615750715,6.001757086360384,8.347929987472614,114.31474501205354,308.0545481070856,187.27462766744424,13,13,Hidalgo,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,7.2223210421044355,4.284822630917344,0.6714636121344447,0.9295311004961223,27.580853721775256,230.91453349392646,192.65118724337012,14,14,Jalisco,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,24.95245867304261,15.612660519308603,3.732668480562321,4.678514217358464,119.53786625244278,269.43423546687643,148.71312037854472,15,15,M�xico,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,13.540655257406778,5.57474609577088,0.303748910790264,1.0336301583076606,44.90348675754437,269.6829707409967,171.13523817358953,16,16,Michoac�n de Ocampo,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,24.42544567068971,5.188359980066755,2.316525235991325,1.9246347045520897,143.38091368406987,285.72629152306934,151.66867569649958,17,17,Morelos,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,12.560980995706476,4.220315749972214,0.688164964046352,1.2317719282832482,6.89706917170901,202.0931637432324,257.1000693165185,18,18,Nayarit,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,14.430182050460516,6.101388722809974,13.607766651602923,12.290208592758422,54.880192590643574,53.99437177238253,76.19590726901085,19,19,Nuevo Le�n,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,19.479732756095434,18.68604596916815,6.098715371062365,14.1053638991517,131.5390184846225,333.44267730922616,175.66799353185172,20,20,Oaxaca,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,21.91703007785823,29.459433319162553,7.272477481370509,14.920982864867206,134.57867664014233,264.15547878463565,145.38578857308266,21,21,Puebla,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,12.338910622159979,11.87097389611091,0.8652671472539116,2.898561375084814,91.11056503772068,206.17323157615647,170.14430562147507,22,22,Quer�taro,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,75.20110354493049,63.45893528332714,15.730555492822276,24.700724478316015,38.31204243986457,279.15616317135704,95.92720578270048,23,23,Quintana Roo,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,10.918112075896962,7.273178786209881,1.2707785346306437,4.639728846546488,51.72837459746632,184.5563176612002,143.3097599927513,24,24,San Luis Potos�,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,10.66249211875435,3.255917116848623,1.3379419811333448,1.4065445671764591,3.071836528868915,55.91587067657992,186.75689984189634,25,25,Sinaloa,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
