system:index,01,02,03,04,05,06,07,08,CVEGEO,CVE_ENT,NOMGEO,n_year,.geo
00000000000000000000,8.427684518738934,21.05840884805685,1.0176192737036602,2.9831820237491664,6.70314823965214,92.49897761991116,203.18363007919098,66.02174783619083,01,01,Aguascalientes,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,35.72222815040445,27.694347460848622,30.34137706493267,7.061113312436789,1.268992835877231,0.374851018021519,2.3527841151156883,6.543284998411717,02,02,Baja California,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,7.323056802201454,9.112434669058548,4.097655555954431,0.5483866084477598,0.4307208531703568,0.9388922977946531,4.333994827594667,12.297641574129104,03,03,Baja California Sur,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,48.2199578238115,26.82653970285158,11.217855530023611,8.34151801048987,42.1142563399448,465.69881063754036,165.44067725878566,229.27726017191785,04,04,Campeche,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,13.716280113825897,18.130948182104408,5.758869459788705,8.151873766427377,14.720282246319734,67.71232827582799,35.95047833572096,15.486494826217156,05,05,Coahuila de Zaragoza,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,4.688485535283865,10.721142749314215,0.9314155067486068,2.662839269700487,3.1739756326227386,66.4196302016955,228.97652219507984,200.98210741567172,06,06,Colima,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,32.05365500543415,20.582304555072398,17.031514341976123,38.94978479773172,94.36353802893228,435.80695268988273,312.770658554073,293.04044031826885,07,07,Chiapas,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,12.738377427221351,14.273300401501604,4.557399327031501,4.19425245396338,2.732596167740748,28.187773057529103,82.51718865990522,65.7729091406516,08,08,Chihuahua,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,6.222487674012761,19.944068931908433,1.0421709390083886,9.314261996815162,44.2215180981968,131.0237697183677,313.9742827417287,365.75457930278867,09,09,Ciudad de M�xico,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,10.95727030815803,25.358275921356558,2.30846512780661,2.7389565743715285,5.022773625378747,48.12404491121094,129.08880683840397,121.97594959094624,10,10,Durango,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,5.387862658975191,9.045758596401456,1.2456024195041489,3.508421131530969,18.150847960993037,105.5390331604248,200.3868741546214,79.08230417266827,11,11,Guanajuato,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,4.267248854606705,3.975296763535286,0.18335173476369965,1.7710652188696179,9.892752981249458,128.9526254804163,313.88732499864835,218.98450167536149,12,12,Guerrero,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,14.951458061890044,14.561779518506498,7.429490381023972,21.252464745945773,26.068140831327668,187.09225545741364,379.06501543587154,97.76913937982155,13,13,Hidalgo,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,5.139520978058131,19.313337441121345,0.8040348046854349,2.5978543998109815,6.945184849116675,121.29195590972405,255.36562675594274,206.19274804046594,14,14,Jalisco,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,5.991121192721823,12.004054866656936,0.9392035802087274,10.719585150312776,26.17458131538556,141.84015357631958,306.37429061495675,279.77237785304106,15,15,M�xico,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,4.935831053405516,8.656687245452034,0.5104159105328214,2.8538461095929026,8.692969666669258,107.70258133181598,232.8810672915443,237.04777313568363,16,16,Michoac�n de Ocampo,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,3.90661701900169,5.48078158370211,0.2504101756395134,4.019476822001106,28.557387929334514,149.448455060829,342.9790876511829,246.67626087916713,17,17,Morelos,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,6.0943703740466315,28.535313707987886,0.4357073652700722,1.9853664290996333,1.33364828063844,180.4676442896792,246.72384240253442,267.64824555592685,18,18,Nayarit,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,16.80310738624226,27.329044892930806,10.61964865689967,17.34109451666769,47.92704442201522,225.3505567963399,77.58482139269401,18.786503949067967,19,19,Nuevo Le�n,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,22.367917686338053,10.43685050396721,10.056344015052204,20.81643659532251,21.01770493519065,272.0233019056797,335.4721012733646,224.91009458592742,20,20,Oaxaca,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,17.6170446979734,12.417831287642674,7.801629357903524,18.502921276393543,39.501548368318176,174.49015593493831,305.25592756347106,145.742850533543,21,21,Puebla,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,10.392185752249375,6.265216580618346,3.318724126472688,9.446461720358753,28.408465315334507,154.21375694549502,316.04399475754127,52.325423802751054,22,22,Quer�taro,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,76.44475811431481,27.799537982527905,27.0037553615145,21.759787888217986,12.985729064349506,632.977629061901,189.53705716912626,188.8122651723582,23,23,Quintana Roo,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,11.68429530731191,15.237573744793842,4.891761383798964,8.959713497294896,16.051993627000833,139.2872091973756,282.12805568972936,29.868784817977538,24,24,San Luis Potos�,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
