system:index,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,CVEGEO,CVE_ENT,NOMGEO,n_year,.geo
00000000000000000000,1.2864714983278727,0.17953163147467296,1.8164712228129916,1.7221933336540836,2.6373779986309867,0.0,0.2684972965490688,0.7627616605775981,1.9693642606136732,0.20078372681608667,0.5163687299328007,0.0,0.00633587049418695,0.2824413390511464,0.18766551346265123,0.6150375156254799,2.4736416971448802,2.4399402437079485,3.61119132412289,0.7442403686210924,4.02693370798574,7.710607987869038,7.354464390059608,55.07073404310559,65.0718661625064,59.774477280877775,5.312098233456144,48.39633674043627,39.43826980844226,4.483634040862159,0.39432726890123965,13.803684249529518,15.927537445871838,22.145656906953715,13.689791916707,24.636833213561783,21.500782655170028,28.745597730540652,29.48860048805425,22.03081990885429,45.42750993199256,2.2122948444313626,5.978295989059772,0.0,15.859327588937179,1.3317227302660777,0.0,0.645677747426616,0.23386174385569858,1.8124844823756072,1.16197566087395,3.692744313014252,01,01,Aguascalientes,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,2.642610292681915,0.0,5.276433933827523,0.7106779093717742,8.104021904235124,4.888660348185115,20.382156069835148,0.23733483348696074,0.24573875155097036,2.613152831620592,21.762313300443253,1.5483687865145344,1.944951755961374,7.667560302231312,2.9912607437547303,0.11008144565063645,0.37378888272320704,0.008032858948852575,0.12580476321079345,0.052804093536587764,1.5195067780531022,0.11053942839563008,0.0,1.318935281897011E-5,1.6778561491279254E-5,0.4229126123828187,1.1415963640055746,0.006823243820272265,0.19846388499414766,2.386684810015703,0.23462916537184778,0.7313855790915464,2.589129831379634,5.864843166569361,1.3022510404902825,0.17805972260745742,0.6276775148494257,1.430939696522174,5.1087925119190105,0.3070988098078808,2.82081494327715,0.07868582671266983,0.33668494846580793,2.5296664355418033,0.13052858898833727,10.940558469651409,8.56098719907589,0.7729120085758119,14.519151678365873,0.018543946359326994,1.827439909387291,0.12118634950212259,02,02,Baja California,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,1.3048304263323505,1.2683192121958766,3.6715445612983695,0.870537045353403,2.6804850269572147,1.2114577986555923,1.05521142573641,0.23483548905838203,1.1307914476268741,0.06517884306400776,0.10102321696749039,0.05315489706618697,1.529763741049735,0.2535981043699205,0.41354075438428795,0.019723053687684858,0.37406080146756526,0.04924827738748189,0.07058248085909784,0.09159848757325353,0.2292992560146783,0.14954552084502018,0.0,0.0,2.558496192865575E-4,1.63433909311407,0.1061382448858676,2.0999630619627347,4.731600118766819,0.6655349939165907,3.1188788992409546,5.230780709039916,4.001581208957413,13.378826247320452,14.441602715950628,7.424702309916724,5.3942111216882385,0.8653009715242529,5.363760536102585,7.75603763707091,0.4894204707131297,0.04671423492561418,4.395076935291317,0.3582772405280303,0.0,6.819317168800452,0.6656024567761473,0.3141492663125805,5.258290082528093,2.4438587767554227,10.22631051190217,0.0010271387688209307,03,03,Baja California Sur,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,7.725740075293611,5.821929655325117,2.9014694125629266,51.97700910511809,18.07642085779108,2.2716569028395712,13.730517142241006,1.0822284823037924,1.4742072925972134,0.8021586463412407,0.17509454530339053,13.908662319126648,2.738291775174439,0.45729699051946743,0.005678346491707129,1.5342213655472678,12.391651649115968,7.807430214627156,1.623164785252582,3.1367898820668656,66.35409100584664,98.37089148969082,25.731618821690823,44.625657671385696,42.44319647025921,35.64979480859834,31.938044637573427,35.9635439562847,32.67477097600857,28.898343237492753,28.566667633620906,41.72827420709229,31.022099555387207,39.16271829396529,61.50833406778338,45.56509782354522,24.622420160878242,33.026252578989364,26.395933175713765,25.09675139851142,5.247603699752736,28.906566082289785,9.71208405024973,72.98169356751742,20.638044725083,51.65438547811,5.895334334752877,7.527080856451062,0.9640813087409417,16.91257412970993,0.9418571872955431,14.535223754662315,04,04,Campeche,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,2.0798045494852024,0.7544349091168929,3.845157962049963,0.061895356383724995,2.912169811029165,5.7586204920096575,1.0962631887404315,0.10270381181718649,0.009291344376518934,0.6395047657756832,1.572354843787861,0.032712528751362165,0.9046337441132088,0.7076644917288221,6.813656292894182,3.695657105953257,3.9003129385541615,10.998530408025626,7.541633130752872,5.228403952706456,6.27648110235274,18.59347889412231,22.626248005677834,7.393809243016144,24.216075344509296,34.44751519394897,1.7182923474386578,19.77034251998223,10.717309640656925,0.4518898744570319,0.537060845803162,4.338347415300007,8.043226706137638,13.313507446910114,21.27301664917843,38.073868165622926,24.33761992573568,18.29820658797712,13.437597458444692,28.604454306241532,21.6697495289317,1.4886549692925637,28.73413356864903,0.1965752477087708,4.4149807376696675,5.3927164255682065,0.8529112632454559,2.608020975931157,3.3577520785058805,11.949962388575205,14.139853302163797,1.8565932620642178,05,05,Coahuila de Zaragoza,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,0.012340037009922063,6.183853492638752E-4,1.1666551123217963,0.03629480529873414,4.758505763278215,0.20769386202397497,0.13210672552179673,0.5449048047200574,0.003042774283416851,0.02995573047217772,0.0,0.16780759091195271,1.0065288167721629,0.11159104626240503,0.07440172355310445,0.05666159884611892,1.1548671969585158,3.4796797380607143,1.2784240607578796,0.002902063890622731,1.604795657741034,3.2187201574088236,0.005693895816331516,12.723404528883947,11.889663672437779,45.89126588254899,51.09819770297773,41.042770131260866,37.85429541070352,37.816331897197756,15.528738337890747,32.70936170710578,39.418299699360055,40.29212700907411,48.31833463232341,42.42734036268819,21.63089639233675,74.13201098241468,21.5095013281185,87.31164317867704,13.956205538763266,76.18548975704167,57.04923815119048,0.004092930835156612,3.5997799308681433,0.2854049307686646,0.7530435433577755,9.626056101465029,4.525296194264133,0.9640413499836723,0.25023093762571263,5.463008700629716,06,06,Colima,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,3.950933652036883,8.91824546949595,8.544329169346755,23.462532566449052,22.849433372816254,1.0275796835033897,18.542164898014562,2.8800233203150474,5.7852473678713965,2.5376811317169348,1.2415558719516162,20.107256290296846,7.613834206807012,0.03748355596388737,0.0,1.6877046639708762,11.090782330788844,36.42194813484474,5.523862786354778,18.146502598151187,64.41051604181867,166.68932604263102,60.74638332914842,49.477711989275214,43.019191680297126,74.24783550850584,84.32158454326472,63.88225045970467,29.14382907808726,37.3074129093853,29.492344694339064,42.25580416100157,89.05917369286021,53.734834524488534,64.09924000574404,90.15834384504466,48.272175767201425,37.148335036410735,70.13090706504488,81.53307452950249,14.93649072427726,27.16861010433014,50.49434590671894,26.920252465047465,4.399340677723395,64.27888779677035,6.659888721362717,12.804517119576204,4.401060251077111,21.03417532766651,3.3415206456919586,11.136198023492089,07,07,Chiapas,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,1.185762381447475,0.11375792073007407,8.582179326160587,0.14384208870463217,7.279045800380259,3.1478573277993784,1.354965806297534,0.22867152468863486,0.011971509035499841,1.446275234557851,1.2415092756379287,0.3577161879138852,3.5491985394758743,0.5110889538065354,2.059533300278335,0.7145040619606913,1.4894342459380574,5.925150860608586,0.3838889201446361,1.086097962529285,2.622543532765117,9.948969688304576,6.9088394590613245,4.062882409541322,19.514165495533256,43.1607241785371,41.60604284698938,43.31059253539693,34.188124765515546,21.65014333227778,8.476708711106435,25.445395978494386,36.70994336212803,27.738514294332024,36.38259947262205,32.82418032613014,28.631883914178818,14.229418609430693,11.942132483191626,26.344580939607383,4.9438993137627865,0.18537153800283399,7.975174593422715,1.2950959917053375,0.5967628465479814,9.433485586394593,2.0838155555812166,2.0743210861276142,7.84785622824016,7.0479543831055365,19.965037995289666,0.8841804648113154,08,08,Chihuahua,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,2.483826534471914,2.272142778289638,0.0,1.4637506677789616,0.3096779883272199,0.0,1.9177891157367113,1.685032254581346,0.6881332328055771,0.44091862323523145,0.6736633017440589,0.0,0.0,3.642510401062248,5.960401346592783,5.737115380552332,13.740290227448588,24.40248934794354,7.806330533675431,22.427508494481994,18.086996217429057,66.01950180054182,77.58781373012617,57.55844498555057,86.60400607819439,42.32105985968794,28.11174531767377,53.39950920694249,18.751648327340263,33.526028926040254,29.948536936221014,47.61564697587547,42.63544578781047,37.389515186944614,40.634600282298315,29.453591656893913,30.57935383255322,32.96897516312182,42.167504715125254,42.0312778783238,28.162323757350293,7.079296283606065,0.2213210677386496,0.0,2.000651703559973,0.07795028078818378,0.0,21.445048302849226,4.766192216672058,0.010953460070862451,0.14672639173134466,4.272898599992718,09,09,Ciudad de M�xico,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,0.1974705517645631,1.9177130027593379,6.361611462765667,1.08209209506249,2.901414321828692,6.175998358234999,0.49111581664507614,7.044118839240616E-4,0.9612857047878514,0.2017752051503125,0.48900692072695207,7.648114980862597E-5,0.9015133150716138,0.4352341459738264,1.4975202578723894,1.4276809148114853,2.822470500765214,4.836456493238384,2.3810684104436257,3.300243962471201,1.5226537375956597,8.696187246676166,2.249134659507673,12.173893376295469,37.08605191767533,50.998069690196154,37.87403646769684,32.16843255185096,59.769024871483424,16.72687609394746,13.557120384498516,16.46558223139727,24.751201038604847,40.65448702478779,39.616593742643126,55.3240057670178,52.38658657392,34.55503930562218,12.560413210377014,21.079647402765996,8.260290818540714,7.637126131466494,49.29305485910119,0.01521843049946236,2.9005429311781663,5.619509638720935,0.00523116635807824,1.7378882429520273,4.12715517554343,17.4631945305242,11.879073762035812,0.051302569588955564,10,10,Durango,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
