system:index,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,n_year,.geo
00000000000000000000,0.9835865472779369,2.7536153304491116,5.430862941330285,0.13744113379122666,0.05099194065762449,0.0,0.0,0.19996143625580154,0.0,0.16439376951397264,0.0,0.563557023433289,1.2681352876103797,2.0749081044983337,0.0,0.11943804471153398,1.1910166066496006,0.0,24.511422871073137,0.11322943616623994,0.0,42.09741619312016,0.08666462138034825,17.827178880480435,59.857095742274666,24.42344967342477,124.8694367487776,35.65617127267823,34.603227401012504,1.4228864148611404,72.78541054583529,21.160675494300868,30.242790174968203,13.004443346964006,68.38064468991232,41.24193504584414,57.83660924306021,54.247672582701824,33.02717399082596,9.746741553127215,1.542185412786848,1.5445506093680923,2.797802548216157,0.24348876799120814,0.0,2.8755667049127647,1.7548142988904778,0.12559577050826534,0.0,4.870020133204844,0.2697865554540278,0.28979074696168877,01008,01,008,San Jos� de Gracia,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,0.0,3.3855284527843557,3.7276639993613268,0.49590319254040327,0.0,0.0,0.0,1.1937410529830617,0.0,0.007518261541553536,0.0,0.761481578369638,0.771463753872307,1.8151241414058275,0.0,0.0,1.2034378632550533,0.0,24.626912510262663,0.02535985069882749,1.0578132014180197,34.5384171954219,0.928207918044624,16.770997610488187,39.7125493551095,20.81486358969526,81.42492931571807,46.156445251346966,14.64227483469412,0.0,20.432306906729146,3.070509700139671,30.2022211935024,19.784949961864456,39.77241794064907,20.608364947115035,49.008638078034764,24.856932111663678,33.64789403595825,4.311908015647641,1.0160746696431646,2.2145225709904115,2.1202780258707357,0.1335640840056091,0.8997084707640497,0.15811268906844292,0.0,0.02431610210801829,0.0,2.8344839221322555,1.0412088374133734,0.0,01009,01,009,Tepezal�,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,0.0,2.1532823667815073,5.24445867786215,0.3120523829570576,0.20074505895163844,0.0,0.10410619443924016,0.38620982172228674,0.0,0.013817768145768494,0.0,0.3700031749461723,0.5544639867498162,1.5022207186059617,0.0,0.0,1.1745454216300737,0.38747971404051845,25.028256708326936,1.425833664285882,0.0,37.80703765422885,1.4795513157323534,17.753852234883436,46.987343201161565,21.950085739766617,106.21703117958442,36.386218345929784,22.372134403208374,0.28400702091407326,37.428278885516306,7.750529111139566,23.385776275693672,12.654981307561497,48.04092938295452,23.593040082913397,47.18745617671139,34.692106798114246,37.5069739812202,2.0752057666733266,0.2799865431428806,2.280546806416433,1.8676254418711764,0.33690080559876645,0.19027584104526643,0.5190704799038215,0.057808922935551545,0.1985838813906328,0.0,3.5538551820499604,0.1999420567178953,0.0,01007,01,007,Rinc�n de Romos,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,0.29962911234273537,4.21440944854719,6.217181491017139,0.0,0.01954140163693032,0.0,0.0,0.7729420157760499,0.0,0.0,0.0,1.0901633897183105,0.7933643368393065,1.9365095355495903,0.0,0.05043638826156995,1.4390200183998725,0.045591760125959876,20.960923915660562,1.8171329321933962,0.0,42.273842862741475,0.03255294582252782,10.22318529517283,50.1265595202928,26.674143607572002,87.19124624838201,64.24646799958809,25.7234284496792,2.0128588078723393,46.164452357321785,8.002273581379354,26.351799071541887,16.591341795724773,54.56348540808507,39.03355668857904,39.560842850058854,40.19694327863847,35.105772463902454,1.4259035346334359,0.4000535584788481,1.0478417768376078,2.160670343191189,0.21222284565801205,0.4841258801826981,1.1736979915353958,0.9354429503472628,0.4693035886894842,0.0,3.72442284106939,0.04295474132664926,0.0,01006,01,006,Pabell�n de Arteaga,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,4.195972139170598,1.4216401036878692,4.251186796871011,0.0,0.03276837508629431,0.0,0.0,0.7701936806281621,0.0,0.05754090037273443,0.0,1.0399551632630175,1.3137153882976087,3.0721405447861034,0.0,0.06901549921438456,1.5141591070697602,0.14983909195613604,12.822465349831038,0.38735518016593595,0.0,35.95404731108739,0.5279605740729564,13.195316095827302,59.596392775135875,25.166745108296766,103.46872458551694,47.87150962508289,27.261780131278663,9.718897747343624,61.53506152112106,28.099088679263378,36.7884794606813,15.066979192377097,58.903165555724705,48.55848969914637,34.20318304384468,40.995298724498355,42.39537042326113,6.942930770303863,1.4758228698780325,1.693767896393136,0.9210743295283482,0.0,0.05770598148212995,0.20806878256520805,0.198072282728923,0.08267109406324663,0.0,3.8677813149222944,1.1538872194673675,0.0,01005,01,005,Jes�s Mar�a,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,0.0,0.5996382312302876,5.970141513187556,1.2231389734854548,0.06436136501837957,0.0,0.6773459695463889,0.5506545965536744,0.0010963600431651195,0.0,0.0,0.0031353656742261074,0.3491438085430503,1.1527596262181607,0.0,0.0,1.1839183216170792,0.1274783338548438,25.002301085332263,0.6066911020464274,0.0,37.5054929130069,3.0044329292782628,17.251780654853317,49.05369198195927,17.841324478493142,112.76770655005225,32.37706979424709,15.67941269731353,0.0,17.501555249042312,19.11227074781493,24.653067507086718,12.722193006070684,40.15170984133394,20.506912711652344,56.321274847529395,28.395019082846158,40.184820398425046,1.8585782040555572,0.008430639972956358,1.1163671041967171,2.4793660647035067,0.6461858857857465,0.05386402623813482,2.2137330566193945,0.5761275759012877,0.0,0.0,3.2886892083255646,0.059680416811481396,0.0,01004,01,004,Cos�o,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,2.672670180542159,2.4294287899559013,3.8997435823460957,0.0,0.0,0.0,0.0,0.7840786374602823,0.0,0.13931734987329775,0.0,0.19505435643294144,1.79076338964571,2.4218883640715694,0.0,0.013729587761673831,1.0227615176534888,0.0,11.71474004175939,0.0,0.09179299620462894,32.75270406193955,0.20517154113739258,27.678184691753412,53.27828854374749,22.249603159112024,102.76736725025974,67.57181049686106,34.425441468580416,20.215625209104303,89.22405254913949,39.10927138552723,38.85450620658125,14.835371986409571,68.66646617625902,50.98063373726206,49.880441687206556,41.51123928427481,44.16043013317791,16.418104211054587,0.6642626759179497,4.32568924395786,1.0083854916836186,1.1455342840715512,0.4639966743875613,1.266873466749238,2.1561882103436893,0.07027399052618442,0.0,4.425457918229721,0.26871327174545495,0.09311521835907356,01003,01,003,Calvillo,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,0.07611751895609913,4.947323242144858,3.232019559396962,0.21337459605883777,0.0,0.0,0.0,0.8859889925737693,0.0,0.0,0.0,0.4263465735001292,1.6222736179101762,2.55128583473161,0.0,0.05667279384485106,2.034119547067619,0.0,20.17619043641944,0.0,1.7966250164237454,30.652776116665787,1.6555915111933301,19.344405853409114,41.08623712004686,38.60450465204272,78.52338517235549,30.54762301231788,10.988541399221115,0.0,37.04778588225202,1.9165027621315749,26.515184620047005,21.744695971700235,39.1232571381379,25.57022004980382,51.738529358937505,21.263880020186193,44.0979821949955,3.2473101621720857,1.3636342283913763,0.30252476833700165,1.1062981988356368,0.0,0.43718754968992096,0.0,0.0,0.20401121726850185,0.09259890608671237,3.0014416845591088,1.0705730033114675,0.0,01002,01,002,Asientos,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,0.6656508639870186,4.023308751031433,4.853814053986081,0.0,0.011165933510691851,0.0,0.0,0.8353171865930537,0.0,0.02578334423274929,0.0,0.39325130147964005,0.8994974542000951,3.0783191709037783,0.0,0.1088344035780398,1.39175709652202,0.0,11.134731117119632,0.007222927176529055,0.34206056842916843,34.61530251137033,0.37358631135034587,22.191939800055987,37.86401480889222,41.75839045981771,74.53084192129434,65.33488716126487,24.661833399395398,7.415481678376267,60.01223620416191,23.651719300562124,40.095784800568815,16.467428323944,50.88515908980287,43.75820934071528,30.376591271778793,29.694743793240125,45.113504886809274,7.021746321141425,1.269294983082575,3.7411014277000105,0.26071252541580286,0.06934502906315014,0.26400634212865315,0.07202864405579948,0.0,0.4589277639694913,0.09436622193725387,3.0449189943705592,1.1900753998412756,0.04871199323549304,01001,01,001,Aguascalientes,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,0.41854972746867775,5.1288883875770575,4.171654639355485,0.0,0.0,0.0,0.0,1.000584250022484,0.0,0.017225609073718798,0.0,0.0,0.9073706663650698,2.735724946187146,0.0,0.006165411652566475,1.574924974484094,0.0,13.177943923175402,0.0,1.4180277477467877,30.816804412390297,1.850838738179349,23.764755918271803,42.91584454282728,41.14325650011046,73.60112021498568,42.51437213869119,13.541707538207882,0.9190092243915986,48.69380796683473,2.9176869674062114,27.091421666480592,23.049663849120787,41.264211338628414,41.57927575667367,43.247554244042924,22.06291201126741,47.39491273391502,0.6121044474234528,1.605285908068648,2.993951990973826,1.618508728007165,0.0,0.20618556421812553,0.0,0.0,1.0135779856111553,0.24323869576558213,2.9389812376416673,0.1491359135955868,0.0,01010,01,010,El Llano,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
