system:index,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,CVEGEO,CVE_ENT,NOMGEO,n_year,.geo
00000000000000000000,4.803189104670134,1.1098452424147667,0.5648304343309181,1.9149391738897685,0.2896176647379216,0.6798572924861518,20.123814454266117,0.0,0.7565015724714346,0.2471291352079098,9.466478337543195E-4,0.013041918190561153,0.0,0.0012433393871471023,0.8838617909243695,0.2982224969587539,1.7998543964788942,0.0,2.154502237590887,1.0546058623591605,0.04772031380251944,3.446319825899575,0.0,4.488497524253895,47.01714467242294,40.99333542323431,01,01,Aguascalientes,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,1.3314660211051688,0.024481255134260842,7.171385173550164,27.180101270457033,1.6612916339471417,3.828088256842908,1.669944541629908,9.850976875799095,12.486846367559203,7.6617989331071445,2.6450743665515986,11.373981307611272,6.8725166728908125,3.4585760367669107,1.9312578614456408,1.446262806182166,0.17141918441541446,0.33097942490751997,0.04306539273532843,0.8991057254372513,0.04943523900557979,0.006127516235931074,0.008858003719753395,0.12269265177199698,0.01607475863613365,0.22110256507591683,02,02,Baja California,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,0.6233736150107607,0.5827012223263337,1.418106052720274,3.3467243048751216,1.3541327396400868,4.679176590620272,1.8774175107654851,0.2519924036811219,2.553548049072858,1.832302870841462,0.2507708041450795,0.5238174399754975,1.2272872673165203,0.13033255073507896,0.3096885147938765,0.08417042462563214,0.03809530907977997,0.002702339244394425,0.12352406072978912,0.2795848086165436,0.01648215869679017,0.015339306051302331,2.9058692364948155E-5,0.05391836852351743,0.8762245162255131,0.0023121794051541994,03,03,Baja California Sur,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,5.710268224613466,7.147185536067592,24.86967879594529,10.461864674964916,1.4468581734827348,3.793878429789543,17.1389363704095,4.318472006218015,1.2792640599158456,4.042816205981191,0.976169608527364,0.9989229201652647,4.080038050606033,0.04354959062485643,5.384025882742116,0.23686033357874178,0.31262361787606907,3.0881812454251047,0.027332565222227215,30.588156810773388,10.539765399385942,0.49474509452599336,35.101625751511406,144.65368695757329,187.93843675810515,97.74559498063115,04,04,Campeche,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,2.4302279192621428,0.37393541301656164,1.4437695226249894,9.178622390452512,0.623041588472416,5.526047934340852,10.116901731473163,0.12108959737279842,2.330726129303031,1.4443079745257965,2.5933316878368093,0.6871353324834351,0.7369605345544934,3.1129826723656335,0.6435934486413555,2.596635358697104,1.6696431746156408,1.8985980503967168,1.7962829614960172,2.133585859029021,0.8662534527155238,12.37085316638331,16.422283949846584,5.38099948995325,37.74103518004604,3.951737524388949,05,05,Coahuila de Zaragoza,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,3.2751439239506386,0.9222335862151619,0.2127261789338447,0.09670588460769111,0.24901288239904515,0.018001174417578328,10.626763232023748,0.00904142205036745,0.37603612009164067,0.044151557488994964,0.07028513982500133,0.09109558477476225,0.34984710456820756,0.012492797105755992,0.7929635831823336,0.4234166086045482,1.4339662808078495,0.0,0.7459599305656814,1.1635468254579746,0.5773502421890113,0.6871186344100714,0.0,13.625749985463592,33.5292057158708,19.26467450036111,06,06,Colima,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,4.43023740358956,7.41003464841872,11.87326711097725,5.318755099544904,3.8959906150973245,3.6752983291941903,10.584543066563137,4.26597434606953,2.6392854325813286,4.276818457430328,3.54156706719661,3.617191066395338,4.138511259424473,0.5354527584528002,11.770772046009245,13.738093893166818,7.498897379814245,10.98098017075198,2.8741230957304347,59.14473517063271,13.42087997496079,22.60483325198029,38.69023542395913,135.7148293956872,132.24690672023436,119.89953623516669,07,07,Chiapas,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,0.9821846935011547,0.2055837307509816,3.132706951527181,6.4300021791041555,1.988062531140175,5.1233954015308765,4.61100810757938,0.24989071116272962,4.3859520725619685,1.7282665050827635,0.5689006981166518,0.6869593319916862,1.4761642417047598,0.7586839590264968,2.2285435907185533,0.5424800272266007,0.6543514846065204,0.012978875458696226,0.6729124481215958,1.1611283926326543,0.5357097501936063,0.6520439781938019,5.92895504051389,2.4232728720159784,2.9073856190588763,16.636175641465965,08,08,Chihuahua,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,2.1083651716504375,2.622548579019755,0.04374356320114181,0.19653412013389804,5.169312626688142,2.7243347069508137,12.079120935175405,1.132107406654247,0.0904894964473463,0.0,0.0,0.2423550945326394,0.7998158444757492,0.6125339168718216,2.795829615570788,0.37228246934712544,5.53361599502543,2.2126912943162655,0.3872580049891926,6.875343766743155,23.713351043012945,11.032873989135243,3.3650657308349397,8.053240241335404,33.11382753392886,86.49163621226847,09,09,Ciudad de M�xico,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,2.6603824434090058,1.3805787270684886,1.3023240351671215,4.617860939140656,1.2169790485136938,5.382377619007794,18.37915831075481,0.3463239489120011,1.0846983870993792,1.3164506804618197,0.6907222937565477,0.09904293516177691,0.1471119888681202,1.0450561859677199,0.6075100895837182,0.5529035749721527,0.5334867238479362,0.43280248821294637,1.9024026880678104,1.2115843687253272,0.3198861670318519,1.5310438307866923,2.3280034043152074,2.9375592943592297,17.037996211525584,25.445540083565056,10,10,Durango,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
