nombre_estado,cve_ent,nombre_municipio,cve_geo,normal_pr_mm
Chiapas,07,Huixtán,07038,1244.5420122656508
Chiapas,07,Huitiupán,07039,2377.5439662836498
Chiapas,07,Huixtla,07040,2622.94358090705
Chiapas,07,La Independencia,07041,1589.3439823867147
Chiapas,07,Ixhuatán,07042,3493.023050070627
Chiapas,07,Ixtacomitán,07043,4075.979617320327
Chiapas,07,Ixtapa,07044,1304.989991913548
Chiapas,07,Ixtapangajoya,07045,3805.9408588320352
Chiapas,07,Jiquipilas,07046,1177.9363516828769
Chiapas,07,Jitotol,07047,1690.5877790094398
Chiapas,07,Juárez,07048,2822.512185327362
Chiapas,07,Larráinzar,07049,1394.8646623682564
Chiapas,07,La Libertad,07050,2185.747459362189
Chiapas,07,Mapastepec,07051,2375.557669078589
Chiapas,07,Las Margaritas,07052,1825.0850516299313
Chiapas,07,Mazapa de Madero,07053,1197.7508965668244
Chiapas,07,Mazatán,07054,1708.5025245786828
Chiapas,07,Metapa,07055,2339.7055704976997
Chiapas,07,Mitontic,07056,1992.672285529241
Chiapas,07,Motozintla,07057,2479.110154658349
Chiapas,07,Nicolás Ruíz,07058,1327.03834830544
Chiapas,07,Ocosingo,07059,2256.3803640305255
Chiapas,07,Ocotepec,07060,2189.5122942774265
Chiapas,07,Ocozocoautla de Espinosa,07061,1358.359732397877
Chiapas,07,Ostuacán,07062,3290.3174118180204
Chiapas,07,Osumacinta,07063,1135.9919092950897
Chiapas,07,Oxchuc,07064,1369.251929476678
Chiapas,07,Palenque,07065,2501.5550854693847
Chiapas,07,Pantelhó,07066,2016.2349399296565
Chiapas,07,Pantepec,07067,2105.4702135619013
Chiapas,07,Pichucalco,07068,3490.2921764228827
Chiapas,07,Pijijiapan,07069,2254.8578460180074
Chiapas,07,El Porvenir,07070,1496.8198216313733
Chiapas,07,Villa Comaltitlán,07071,2587.81052415672
Chiapas,07,Pueblo Nuevo Solistahuacán,07072,2265.68045350698
Chiapas,07,Rayón,07073,2028.048225584813
Chiapas,07,Reforma,07074,2222.551000842286
Chiapas,07,Las Rosas,07075,1208.7414063480142
Chiapas,07,Sabanilla,07076,2710.503898990074
Chiapas,07,Salto de Agua,07077,3081.225736306003
Chiapas,07,San Cristóbal de las Casas,07078,1212.7636047221372
Chiapas,07,San Fernando,07079,1130.517341705763
Chiapas,07,Siltepec,07080,1979.8880122140868
Chiapas,07,Simojovel,07081,2002.426325549264
Chiapas,07,Sitalá,07082,1933.9708712890867
Chiapas,07,Socoltenango,07083,1300.6495677622013
Chiapas,07,Solosuchiapa,07084,4048.5029185978997
Chiapas,07,Soyaló,07085,1211.4405441932645
Chiapas,07,Suchiapa,07086,1130.080676372776
Chiapas,07,Suchiate,07087,1417.3362926996306
Chiapas,07,Sunuapa,07088,3534.1516965611695
Chiapas,07,Tapachula,07089,2338.647910389783
Chiapas,07,Tapalapa,07090,2299.8229357665173
Chiapas,07,Tapilula,07091,3091.1028702654694
Chiapas,07,Tecpatán,07092,2172.2144745476826
Chiapas,07,Tenejapa,07093,1604.53364848516
Chiapas,07,Teopisca,07094,1275.3666014338505
Chiapas,07,Tila,07096,2896.6495998024816
Chiapas,07,Tonalá,07097,1755.6601223815342
Chiapas,07,Totolapa,07098,1195.0736771077381
Chiapas,07,La Trinitaria,07099,1377.370442727288
Chiapas,07,Tumbalá,07100,2827.518566122824
Chiapas,07,Tuxtla Gutiérrez,07101,984.4257553035216
Chiapas,07,Tuxtla Chico,07102,2771.3117996568117
Chiapas,07,Tuzantán,07103,3670.799558660336
Chiapas,07,Tzimol,07104,1188.5388431445024
Chiapas,07,Unión Juárez,07105,3169.6666431610497
Chiapas,07,Venustiano Carranza,07106,1410.3275555222606
Chiapas,07,Villa Corzo,07107,1841.5789373713887
Chiapas,07,Villaflores,07108,1370.0290053169438
Chiapas,07,Yajalón,07109,2254.6664777598676
Chiapas,07,San Lucas,07110,1255.8261079132058
Chiapas,07,Zinacantán,07111,1332.1037794456377
Chiapas,07,San Juan Cancuc,07112,1647.8447422058234
Chiapas,07,Aldama,07113,1626.1979051018557
Chiapas,07,Benemérito de las Américas,07114,2530.5624279683493
Chiapas,07,Maravilla Tenejapa,07115,2828.8581428326315
Chiapas,07,Marqués de Comillas,07116,2747.920237791846
Chiapas,07,Montecristo de Guerrero,07117,2424.0767739332587
Chiapas,07,San Andrés Duraznal,07118,1956.2230325964651
Chiapas,07,Santiago el Pinar,07119,1561.219651875893
Chiapas,07,Capitán Luis Ángel Vidal,07120,2641.842605494602
Chiapas,07,Rincón Chamula San Pedro,07121,2219.1661724774253
Chiapas,07,El Parral,07122,1439.2987778411039
Chiapas,07,Emiliano Zapata,07123,1239.062471841311
Chiapas,07,Mezcalapa,07124,2507.5563475729246
Chiapas,07,Honduras de la Sierra,07125,2243.5961235016925
Chihuahua,08,Ahumada,08001,287.8882790612495
Chihuahua,08,Aldama,08002,307.100509739113
Chihuahua,08,Allende,08003,361.8840639420139
Chihuahua,08,Aquiles Serdán,08004,349.41034174153367
Chihuahua,08,Ascensión,08005,256.9065211312525
Chihuahua,08,Bachíniva,08006,445.44361979496244
Chihuahua,08,Balleza,08007,670.0135193983162
Chihuahua,08,Batopilas de Manuel Gómez Morín,08008,791.2119781335224
Chihuahua,08,Bocoyna,08009,708.4972292306489
Chihuahua,08,Buenaventura,08010,316.38749827776905
Chihuahua,08,Camargo,08011,315.43118894053026
Chihuahua,08,Carichí,08012,557.9309628323747
Chihuahua,08,Casas Grandes,08013,490.4482525571494
Chihuahua,08,Coronado,08014,383.73935612937595
Chihuahua,08,Coyame del Sotol,08015,309.9653980176616
Chihuahua,08,La Cruz,08016,298.17749926796256
Chihuahua,08,Cuauhtémoc,08017,437.1373765064408
Chihuahua,08,Cusihuiriachi,08018,486.99298006447975
Chihuahua,08,Chihuahua,08019,402.45572092078856
Chihuahua,08,Chínipas,08020,862.0621637637603
Chihuahua,08,Delicias,08021,277.21822722007056
Chihuahua,08,Dr. Belisario Domínguez,08022,432.9663412004648
Chihuahua,08,Galeana,08023,333.9755021509935
Chihuahua,08,Santa Isabel,08024,405.0021440054546
Chihuahua,08,Gómez Farías,08025,512.185345743212
Chihuahua,08,Gran Morelos,08026,429.0710109081048
Chihuahua,08,Guachochi,08027,713.949885547531
Chihuahua,08,Guadalupe,08028,281.65580282612956
Chihuahua,08,Guadalupe y Calvo,08029,920.0172703614189
Chihuahua,08,Guazapares,08030,871.768483275563
Chihuahua,08,Guerrero,08031,591.3414854053299
Chihuahua,08,Hidalgo del Parral,08032,445.84593155716027
Chihuahua,08,Huejotitán,08033,462.8507686278018
Chihuahua,08,Ignacio Zaragoza,08034,460.6917167630134
Chihuahua,08,Janos,08035,367.4137923644461
Chihuahua,08,Jiménez,08036,306.42243541983373
Chihuahua,08,Juárez,08037,240.88948105314165
Chihuahua,08,Julimes,08038,297.26960120891073
Chihuahua,08,López,08039,333.7921754225569
Chihuahua,08,Madera,08040,667.7188330018528
Chihuahua,08,Maguarichi,08041,801.1913008218254
Chihuahua,08,Manuel Benavides,08042,311.28940965679243
Chihuahua,08,Matachí,08043,522.5693014351217
Chihuahua,08,Matamoros,08044,462.7679918311979
Chihuahua,08,Meoqui,08045,281.1653939166549
