nombre_estado,cve_ent,n_month,normal_pr_mm,normal_cumsum_pr_mm
Aguascalientes,01,01,16.89184554288081,16.89184554288081
Aguascalientes,01,02,7.584766151478229,24.476611694359036
Aguascalientes,01,03,4.4616103076267555,28.938222001985793
Aguascalientes,01,04,6.363959335725623,35.30218133771142
Aguascalientes,01,05,20.724597950476173,56.02677928818759
Aguascalientes,01,06,89.00123169946279,145.0280109876504
Aguascalientes,01,07,130.60645651484535,275.63446750249574
Aguascalientes,01,08,110.90178802846526,386.536255530961
Aguascalientes,01,09,86.38629323617313,472.9225487671341
Aguascalientes,01,10,35.84481895553178,508.7673677226659
Aguascalientes,01,11,10.526251239159604,519.2936189618255
Aguascalientes,01,12,9.940269610766602,529.233888572592
Baja California,02,01,23.720956349841117,23.720956349841117
Baja California,02,02,27.550948908544605,51.27190525838572
Baja California,02,03,23.9464713258796,75.21837658426531
Baja California,02,04,6.227426030285345,81.44580261455066
Baja California,02,05,0.8830123024261788,82.32881491697684
Baja California,02,06,0.1253371614681518,82.45415207844499
Baja California,02,07,3.814753615369413,86.2689056938144
Baja California,02,08,7.508371178127356,93.77727687194177
Baja California,02,09,8.426592152877568,102.20386902481934
Baja California,02,10,7.370461379861006,109.57433040468035
Baja California,02,11,12.24641378958777,121.82074419426812
Baja California,02,12,24.728331685980976,146.5490758802491
Baja California Sur,03,01,14.701485291271199,14.701485291271199
Baja California Sur,03,02,7.433819919197267,22.135305210468466
Baja California Sur,03,03,3.2079836158987476,25.343288826367214
Baja California Sur,03,04,0.44512125195585195,25.788410078323064
Baja California Sur,03,05,0.18491672864677128,25.973326806969837
Baja California Sur,03,06,0.15797110481888751,26.131297911788725
Baja California Sur,03,07,12.12188831881004,38.253186230598764
Baja California Sur,03,08,34.38076384494799,72.63395007554675
Baja California Sur,03,09,42.641123185459314,115.27507326100607
Baja California Sur,03,10,11.173059106096424,126.44813236710249
Baja California Sur,03,11,6.187270619586345,132.63540298668883
Baja California Sur,03,12,17.5916140385385,150.22701702522733
Campeche,04,01,39.92492307650316,39.92492307650316
Campeche,04,02,34.79308525090072,74.71800832740388
Campeche,04,03,27.415939718158704,102.13394804556259
Campeche,04,04,29.619294354345993,131.75324239990857
Campeche,04,05,100.26522148665174,232.0184638865603
Campeche,04,06,186.4700749604727,418.488538847033
Campeche,04,07,162.66959984014264,581.1581386871757
Campeche,04,08,207.01356056893476,788.1716992561104
Campeche,04,09,239.12988277104893,1027.3015820271594
Campeche,04,10,171.11220875064208,1198.4137907778015
Campeche,04,11,79.69824544788887,1278.1120362256904
Campeche,04,12,51.709867016139285,1329.8219032418297
Coahuila,05,01,15.139091767765274,15.139091767765274
Coahuila,05,02,10.820350402603724,25.959442170368998
Coahuila,05,03,9.176903180159448,35.136345350528444
Coahuila,05,04,19.369899798943663,54.50624514947211
Coahuila,05,05,39.59212859281112,94.09837374228323
Coahuila,05,06,47.32565332400829,141.42402706629153
Coahuila,05,07,53.96059869660751,195.38462576289905
Coahuila,05,08,52.429860776805064,247.81448653970412
Coahuila,05,09,57.56744861161851,305.38193515132264
Coahuila,05,10,30.470631454359324,335.85256660568194
Coahuila,05,11,12.666077890049053,348.518644495731
Coahuila,05,12,13.044542663615546,361.56318715934657
Colima,06,01,17.09155631279621,17.09155631279621
Colima,06,02,3.1939627698912196,20.28551908268743
Colima,06,03,3.496292889708306,23.781811972395737
Colima,06,04,2.739417049412563,26.5212290218083
Colima,06,05,9.643331663337301,36.1645606851456
Colima,06,06,113.49710180236929,149.6616624875149
Colima,06,07,193.47591426387768,343.13757675139254
Colima,06,08,195.90775486986064,539.0453316212531
Colima,06,09,228.90378871878298,767.9491203400361
Colima,06,10,96.70485949453423,864.6539798345704
Colima,06,11,15.194617883000344,879.8485977175707
Colima,06,12,10.946500578563112,890.7950982961338
Chiapas,07,01,46.69074847174763,46.69074847174763
Chiapas,07,02,36.87575339624342,83.56650186799105
Chiapas,07,03,34.87520526990185,118.4417071378929
Chiapas,07,04,47.14002873246278,165.5817358703557
Chiapas,07,05,162.58506526930347,328.1668011396591
Chiapas,07,06,316.1491390231524,644.3159401628116
Chiapas,07,07,270.9589714298106,915.2749115926222
Chiapas,07,08,316.75597181273787,1232.03088340536
Chiapas,07,09,383.9012844508392,1615.9321678561994
Chiapas,07,10,230.16242465130236,1846.0945925075018
Chiapas,07,11,93.93962775077456,1940.0342202582765
Chiapas,07,12,57.81022719038194,1997.8444474486585
Chihuahua,08,01,19.939330234306304,19.939330234306304
Chihuahua,08,02,13.568646606911258,33.50797684121756
Chihuahua,08,03,8.20822266583276,41.71619950705032
Chihuahua,08,04,6.2821158451235055,47.998315352173826
Chihuahua,08,05,10.470158606338446,58.46847395851227
Chihuahua,08,06,43.333802979180994,101.80227693769326
Chihuahua,08,07,110.5669341911103,212.36921112880356
Chihuahua,08,08,103.20135653522522,315.5705676640288
Chihuahua,08,09,66.41058872207485,381.98115638610363
Chihuahua,08,10,30.32500027568166,412.3061566617853
Chihuahua,08,11,12.692265712939193,424.9984223747245
Chihuahua,08,12,21.88289824497505,446.8813206196995
Ciudad de México,09,01,13.125299001684331,13.125299001684331
Ciudad de México,09,02,9.192524442283325,22.317823443967654
Ciudad de México,09,03,9.740302644165409,32.058126088133065
Ciudad de México,09,04,27.70327814214824,59.7614042302813
Ciudad de México,09,05,65.90566941239304,125.66707364267434
Ciudad de México,09,06,173.49265008935916,299.1597237320335
Ciudad de México,09,07,194.5025354375692,493.66225916960275
Ciudad de México,09,08,188.0185758885779,681.6808350581807
Ciudad de México,09,09,179.00669674462443,860.6875318028051
Ciudad de México,09,10,68.5460572426047,929.2335890454098
Ciudad de México,09,11,21.31946553445004,950.5530545798598
Ciudad de México,09,12,8.918199307042435,959.4712538869022
Durango,10,01,20.628924278571052,20.628924278571052
