cve_ent,nombre_estado,n_year,pr_mm,anomaly_pr_mm,anomaly_pr_prop
01,Aguascalientes,1981,416.4027156775565,-112.83117289503554,-0.2131971805497091
02,Baja California,1981,155.61822764301928,9.06915176277019,0.06188474207903531
03,Baja California Sur,1981,164.6122589068443,14.674200313627097,0.0978684161400161
04,Campeche,1981,1257.0806105073384,-72.74129273449103,-0.05470002603894768
05,Coahuila,1981,440.13153702032224,78.56834986097567,0.21730185110451902
06,Colima,1981,885.8022635137088,-4.992834782425234,-0.005604919461249019
07,Chiapas,1981,2392.6693686759077,394.82492122724966,0.1976254566422625
08,Chihuahua,1981,559.5651486602676,112.68382804056813,0.25215604868940855
09,Ciudad de México,1981,1008.5026997701603,49.03144588325813,0.051102568924944275
10,Durango,1981,703.6288124881054,93.86506989133738,0.15393678458413954
11,Guanajuato,1981,582.3368982836621,-14.422418527662785,-0.024167898382762353
12,Guerrero,1981,1460.5519128701283,229.1742026703671,0.18611202783034714
13,Hidalgo,1981,1007.954928159345,188.37634981996166,0.22984538005086314
14,Jalisco,1981,901.1088236845511,20.74329625822827,0.023562140510964363
15,Estado de México,1981,1024.1769131389724,105.47746604801125,0.11481172257369156
16,Michoacán,1981,1007.9893607996627,118.15676663061595,0.1327853884032585
17,Morelos,1981,1227.3431352754992,241.29477080453978,0.24470885962475147
18,Nayarit,1981,1141.5433868174828,37.770744079710994,0.034219677691979505
19,Nuevo León,1981,611.7174894337637,97.55836747650267,0.1897435313510048
20,Oaxaca,1981,1743.5670691217067,317.11311117355854,0.2223086903062073
21,Puebla,1981,1155.9398277941345,188.1088589205118,0.19436127275348083
22,Querétaro,1981,742.8436114107625,99.7265018346701,0.1550674058421558
23,Quintana Roo,1981,1324.5857236225208,39.22816517690512,0.030519262845697025
24,San Luis Potosí,1981,637.7320394488042,33.89071987928514,0.05612520836342563
25,Sinaloa,1981,803.3398624700079,109.68863678582818,0.15813226117727577
26,Sonora,1981,423.8746731411424,48.382500695345186,0.1288508902334822
27,Tabasco,1981,2329.428516127422,338.0478037286289,0.16975548754884776
28,Tamaulipas,1981,818.673358155929,116.57486714817696,0.16603776911819318
29,Tlaxcala,1981,771.524067643556,36.17535824544041,0.0491948347540448
30,Veracruz,1981,2098.8282739948004,360.1433215567222,0.207135468131653
31,Yucatán,1981,948.9213354037371,-143.78242423079007,-0.13158408485652184
32,Zacatecas,1981,438.476349898598,-26.521524609380265,-0.05703579750217808
01,Aguascalientes,1982,407.70396063369435,-121.52992793889769,-0.22963368477154522
02,Baja California,1982,205.54669334261615,58.99761746236706,0.40257925277247253
03,Baja California Sur,1982,146.3569216798853,-3.5811369133319033,-0.023884108857561964
04,Campeche,1982,1344.6271684451942,14.805265203364797,0.01113326917482156
05,Coahuila,1982,335.89248833395027,-25.6706988253963,-0.07099920494417708
06,Colima,1982,736.1357166236467,-154.65938167248737,-0.17361947990992732
07,Chiapas,1982,1983.767204168616,-14.077243280042012,-0.007046215884334398
08,Chihuahua,1982,394.90518731946116,-51.9761333002383,-0.11630858329044037
09,Ciudad de México,1982,718.5691076130092,-240.90214627389298,-0.2510780237531633
10,Durango,1982,495.1362142956273,-114.62752830114067,-0.18798678946206704
11,Guanajuato,1982,474.5225848498106,-122.2367319615143,-0.20483422464966963
12,Guerrero,1982,937.2913896000342,-294.08632059972695,-0.23882706188665587
13,Hidalgo,1982,577.9654103814435,-241.61316795793982,-0.2948017119328478
14,Jalisco,1982,759.5283222654767,-120.83720516084611,-0.13725799272729802
15,Estado de México,1982,724.1726278278569,-194.52681926310424,-0.21174152208218755
16,Michoacán,1982,708.2743460046945,-181.55824816435222,-0.2040364101675742
17,Morelos,1982,684.7441279990181,-301.3042364719413,-0.30556740148704453
18,Nayarit,1982,922.5620522242049,-181.2105905135669,-0.16417383752517764
19,Nuevo León,1982,433.4643512654644,-80.69477069179663,-0.15694513088596784
20,Oaxaca,1982,1150.1864552549978,-276.2675026931504,-0.1936743216658331
21,Puebla,1982,740.1077573163939,-227.72321155722886,-0.2352923381055442
22,Querétaro,1982,469.0877425843606,-174.02936699173176,-0.27060291881589404
23,Quintana Roo,1982,1464.5767085961677,179.21915015055197,0.13943135820299052
24,San Luis Potosí,1982,449.2123617842858,-154.6289577852333,-0.2560754833661746
25,Sinaloa,1982,660.642195250858,-33.009030433321755,-0.047587359772576554
26,Sonora,1982,382.8519168961537,7.359744450356459,0.019600260645696543
27,Tabasco,1982,2056.832463022094,65.451750623301,0.03286752262678019
28,Tamaulipas,1982,557.3723701667469,-144.72612084100513,-0.20613364463050407
29,Tlaxcala,1982,521.9930630652962,-213.35564633281945,-0.290142137473052
30,Veracruz,1982,1526.4175442057185,-212.26740823235968,-0.12208503210124803
31,Yucatán,1982,1051.9405777202571,-40.763181914270035,-0.03730487934616785
32,Zacatecas,1982,378.28391623953206,-86.71395826844622,-0.18648248308704563
01,Aguascalientes,1983,555.3661297055012,26.132241132909144,0.04937749017431776
02,Baja California,1983,235.94628700392815,89.39721112367906,0.6100155226958167
03,Baja California Sur,1983,219.3729976412615,69.4349390480443,0.4630908236341894
04,Campeche,1983,1181.3372481595375,-148.48465508229197,-0.1116575495713503
05,Coahuila,1983,281.5740981128371,-79.98908904650949,-0.22123128650057242
06,Colima,1983,997.6811331399042,106.88603484377018,0.11998947350318402
07,Chiapas,1983,1876.0071247351025,-121.83732271355552,-0.060984388884303554
08,Chihuahua,1983,408.03497233401265,-38.846348285686815,-0.08692766175998985
09,Ciudad de México,1983,885.9329356398101,-73.53831824709209,-0.07664462895493941
