cve_ent,nombre_estado,date_year_month,n_year,n_month,pr_mm,cumsum_pr_mm,anomaly_pr_mm,anomaly_pr_prop,cumulative_anomaly_pr_mm,cumulative_anomaly_pr_prop
28,Tamaulipas,1992-07-15,1992,7,88.09055093112688,465.3655371619419,-8.091108029589861,-0.08412319060637635,104.8432733057627,0.2908094279236722
28,Tamaulipas,1992-08-15,1992,8,70.7537323836367,536.1192695455786,-14.868413924303766,-0.1736514974855856,89.97485938145894,0.20167205355853407
28,Tamaulipas,1992-09-15,1992,9,76.7151114379158,612.8343809834944,-63.26070651617391,-0.45194025254364023,26.714152865284973,0.04557794046974477
28,Tamaulipas,1992-10-15,1992,10,90.72313022992456,703.5575112134189,20.586394880368175,0.29351800846969966,47.30054774565315,0.07207626033514306
28,Tamaulipas,1992-11-15,1992,11,49.55584419323809,753.113355406657,24.599337050053563,0.9856882980025311,71.89988479570673,0.10554677483289181
28,Tamaulipas,1992-12-15,1992,12,15.550391357262802,768.6637467639198,-5.334629039538877,-0.2554284811881639,66.56525575616786,0.09480899988920914
28,Tamaulipas,1993-01-15,1993,1,15.60843012686775,15.60843012686775,-7.57112970585983,-0.3266295719373426,-7.57112970585983,-0.3266295719373426
28,Tamaulipas,1993-02-15,1993,2,15.490453931222904,31.098884058090654,-2.791402101096322,-0.1526870190948663,-10.362531806956149,-0.24993193287670787
28,Tamaulipas,1993-03-15,1993,3,22.285827279252917,53.384711337343575,4.80781772524983,0.2750781037391451,-5.554714081706315,-0.09424445593443076
28,Tamaulipas,1993-04-15,1993,4,23.50126102830036,76.88597236564394,-12.000075038841675,-0.33801756125872245,-17.55478912054798,-0.1858814863867298
28,Tamaulipas,1993-05-15,1993,5,90.18175409464266,167.0677264602866,19.880448971062734,0.28278918771302564,2.325659850514768,0.014116976303469652
28,Tamaulipas,1993-06-15,1993,6,231.10250507715523,398.17023153744185,131.50396679146456,1.3203403288334983,133.82962664197936,0.506277220236007
28,Tamaulipas,1993-07-15,1993,7,37.54012685800568,435.71035839544754,-58.64153210271107,-0.6096955774765945,75.18809453926832,0.20855326307742983
28,Tamaulipas,1993-08-15,1993,8,38.1647694151362,473.87512781058376,-47.45737689280427,-0.5542652098689933,27.730717646464086,0.06215637137818896
28,Tamaulipas,1993-09-15,1993,9,220.17083049441777,694.0459583050015,80.19501254032807,0.5729204780687976,107.92573018679207,0.18413582232658499
28,Tamaulipas,1993-10-15,1993,10,46.87577311857675,740.9217314235782,-23.260962230979636,-0.3316516247163301,84.66476795581241,0.12901161080018161
28,Tamaulipas,1993-11-15,1993,11,26.617736382590753,767.539467806169,1.6612292394062287,0.06656497361089653,86.32599719521875,0.12672385517831403
28,Tamaulipas,1993-12-15,1993,12,20.74999763790244,788.2894654440714,-0.13502275889923965,-0.006465052766714892,86.1909744363195,0.122761942291894
28,Tamaulipas,1994-01-15,1994,1,47.91881841201569,47.91881841201569,24.73925857928811,1.0672876774975841,24.73925857928811,1.0672876774975841
28,Tamaulipas,1994-02-15,1994,2,10.487777035026271,58.40659544704196,-7.794078997292955,-0.4263286497560391,16.945179581995156,0.4086975620212826
28,Tamaulipas,1994-03-15,1994,3,18.272540754475028,76.67913620151698,0.7945312004719405,0.04545890640561897,17.739710782467093,0.3009820787417011
28,Tamaulipas,1994-04-15,1994,4,32.32608576318517,109.00522196470214,-3.175250303956865,-0.08944030438605638,14.564460478510227,0.15421794836586195
28,Tamaulipas,1994-05-15,1994,5,42.25645943820798,151.26168140291014,-28.04484568537194,-0.3989235425440964,-13.480385206861683,-0.08182721926630294
28,Tamaulipas,1994-06-15,1994,6,152.59433664364366,303.8560180465538,52.99579835795301,0.5320941378269899,39.51541315109131,0.1494867319635524
28,Tamaulipas,1994-07-15,1994,7,29.359934862017216,333.215952908571,-66.82172409869953,-0.694744973425665,-27.30631094760821,-0.07574098380371132
28,Tamaulipas,1994-08-15,1994,8,128.1399664148298,461.3559193234008,42.51782010688932,0.4965750327488144,15.21150915928115,0.034095483015657214
28,Tamaulipas,1994-09-15,1994,9,139.29078703762474,600.6467063610255,-0.6850309164649673,-0.00489392329673436,14.526478242816097,0.024784127122612087
28,Tamaulipas,1994-10-15,1994,10,79.78441815464068,680.4311245156662,9.647682805084287,0.13755534467067704,24.174161047900384,0.03683642596363517
28,Tamaulipas,1994-11-15,1994,11,14.510232522558214,694.9413570382244,-10.44627462062631,-0.41857919302137303,13.727886427274143,0.020152106526845702
28,Tamaulipas,1994-12-15,1994,12,19.453160648809124,714.3945176870335,-1.4318597479925543,-0.06855917402943157,12.296026679281567,0.01751325040114038
28,Tamaulipas,1995-01-15,1995,1,19.519512868298307,19.519512868298307,-3.6600469644292737,-0.15789976129148045,-3.6600469644292737,-0.15789976129148045
28,Tamaulipas,1995-02-15,1995,2,11.428574045230553,30.94808691352886,-6.853281987088673,-0.37486795514488414,-10.513328951517941,-0.2535689805128191
28,Tamaulipas,1995-03-15,1995,3,17.354451135430967,48.30253804895983,-0.12355841857212013,-0.007069364402757227,-10.636887370090058,-0.18047151451619167
28,Tamaulipas,1995-04-15,1995,4,15.973231902009758,64.27576995096959,-19.528104165132277,-0.5500667391277804,-30.164991535222327,-0.31940648360435675
28,Tamaulipas,1995-05-15,1995,5,60.87859561898602,125.15436556995562,-9.422709504593904,-0.13403320874385036,-39.58770103981621,-0.24030110738860933
28,Tamaulipas,1995-06-15,1995,6,54.374677467095225,179.52904303705083,-45.223860818595426,-0.45406149123267553,-84.81156185841166,-0.3208419754201277
28,Tamaulipas,1995-07-15,1995,7,65.384920143003,244.91396318005383,-30.796738817713745,-0.3201934667220908,-115.6083006761254,-0.3206689635185589
28,Tamaulipas,1995-08-15,1995,8,225.71189195993077,470.6258551399846,140.0897456519903,1.6361391496559412,24.481444975864918,0.054873364807729225
28,Tamaulipas,1995-09-15,1995,9,70.08602211248842,540.711877252473,-69.88979584160128,-0.4992990708189628,-45.40835086573645,-0.07747275846719019
28,Tamaulipas,1995-10-15,1995,10,49.04287841742688,589.7547556698999,-21.093856932129512,-0.3007533331427427,-66.50220779786594,-0.10133562232461159
28,Tamaulipas,1995-11-15,1995,11,32.13483123221635,621.8895869021162,7.178324089031825,0.2876333634289117,-59.323883708834046,-0.08708559984233588
28,Tamaulipas,1995-12-15,1995,12,34.059748472187195,655.9493353743034,13.174728075385516,0.6308218917230786,-46.14915563344857,-0.06573031593788034
28,Tamaulipas,1996-01-15,1996,1,7.653876521264755,7.653876521264755,-15.525683311462824,-0.6698006098261569,-15.525683311462824,-0.6698006098261569
28,Tamaulipas,1996-02-15,1996,2,5.692912070496656,13.346788591761412,-12.588943961822569,-0.688603166963324,-28.114627273285393,-0.6780913455728571
28,Tamaulipas,1996-03-15,1996,3,10.966565628847906,24.31335422060932,-6.511443925155181,-0.3725506560135635,-34.62607119844057,-0.5874857271216124
