date_year,nombre_estado,cve_ent,nombre_municipio,cve_mun,hombres,mujeres,total
2015,Chiapas,07,Oxchuc,07064,24331,24126,48457
2015,Chiapas,07,Palenque,07065,60093,61723,121816
2015,Chiapas,07,Pantelhó,07066,11180,11324,22504
2015,Chiapas,07,Pantepec,07067,6081,6135,12216
2015,Chiapas,07,Pichucalco,07068,16249,16501,32750
2015,Chiapas,07,Pijijiapan,07069,27208,27804,55012
2015,Chiapas,07,Pueblo Nuevo Solistahuacán,07072,15973,17093,33066
2015,Chiapas,07,Rayón,07073,4870,4909,9779
2015,Chiapas,07,Reforma,07074,22517,22899,45416
2015,Chiapas,07,Sabanilla,07076,13865,13721,27586
2015,Chiapas,07,Salto de Agua,07077,31922,32197,64119
2015,Chiapas,07,San Andrés Duraznal,07118,2565,2705,5270
2015,Chiapas,07,San Cristóbal de las Casas,07078,100814,110418,211232
2015,Chiapas,07,San Fernando,07079,19560,19184,38744
2015,Chiapas,07,San Juan Cancuc,07112,16487,17171,33658
2015,Chiapas,07,San Lucas,07110,3691,3667,7358
2015,Chiapas,07,Santiago el Pinar,07119,1843,1830,3673
2015,Chiapas,07,Siltepec,07080,19448,18845,38293
2015,Chiapas,07,Simojovel,07081,21745,22085,43830
2015,Chiapas,07,Sitalá,07082,6858,6921,13779
2015,Chiapas,07,Socoltenango,07083,9466,9558,19024
2015,Chiapas,07,Solosuchiapa,07084,4291,4281,8572
2015,Chiapas,07,Soyaló,07085,5471,5392,10863
2015,Chiapas,07,Suchiapa,07086,12064,11986,24050
2015,Chiapas,07,Suchiate,07087,19310,20109,39419
2015,Chiapas,07,Sunuapa,07088,1231,1183,2414
2015,Chiapas,07,Tapachula,07089,170741,184960,355701
2015,Chiapas,07,Tapalapa,07090,2033,2162,4195
2015,Chiapas,07,Tapilula,07091,6417,6677,13094
2015,Chiapas,07,Tecpatán,07092,21509,21809,43318
2015,Chiapas,07,Tenejapa,07093,21705,22772,44477
2015,Chiapas,07,Teopisca,07094,20817,21973,42790
2015,Chiapas,07,Tila,07096,39415,39255,78670
2015,Chiapas,07,Tonalá,07097,45770,46879,92649
2015,Chiapas,07,Totolapa,07098,3661,3639,7300
2015,Chiapas,07,Tumbalá,07100,17106,17812,34918
2015,Chiapas,07,Tuxtla Chico,07102,20648,21687,42335
2015,Chiapas,07,Tuxtla Gutiérrez,07101,294324,321942,616266
2015,Chiapas,07,Tuzantán,07103,15604,16055,31659
2015,Chiapas,07,Tzimol,07104,7670,7988,15658
2015,Chiapas,07,Unión Juárez,07105,7689,8070,15759
2015,Chiapas,07,Venustiano Carranza,07106,33549,33555,67104
2015,Chiapas,07,Villa Comaltitlán,07071,14928,15203,30131
2015,Chiapas,07,Villa Corzo,07107,40164,41230,81394
2015,Chiapas,07,Villaflores,07108,53441,55311,108752
2015,Chiapas,07,Yajalón,07109,18768,19511,38279
2015,Chiapas,07,Zinacantán,07111,19309,21782,41091
2015,Chihuahua,08,Ahumada,08001,6367,6149,12516
2015,Chihuahua,08,Aldama,08002,12113,12205,24318
2015,Chihuahua,08,Allende,08003,4543,4434,8977
2015,Chihuahua,08,Aquiles Serdán,08004,8314,7759,16073
2015,Chihuahua,08,Ascensión,08005,12854,12441,25295
2015,Chihuahua,08,Bachíniva,08006,3240,3101,6341
